path,dir,name,size,dword0,container_class,is_pol_dup,dup_identical,table_entry_count,model_count,tex_ref_count,tex_max_id,tex_referenced_bytes,tex_file_bytes,tex_delta_bytes,note
pol/hito_kao_mario.bin,pol,hito_kao_mario.bin,180943,0x00084AE0,compressed,,,,,,,,,,
pol/hito_kao_oyaji.bin,pol,hito_kao_oyaji.bin,115939,0x0005DEA0,compressed,,,,,,,,,,
pol/hito_man.bin,pol,hito_man.bin,34488,0x0000C140,compressed,,,,,,,,,,
pol/hito_man2.bin,pol,hito_man2.bin,30953,0x0000B180,compressed,,,,,,,,,,
pol/hito_manbest.bin,pol,hito_manbest.bin,34307,0x0000C400,compressed,,,,,,,,,,
pol/hito_mario.bin,pol,hito_mario.bin,39199,0x0000E080,compressed,,,,,,,,,,
pol/hito_mario2.bin,pol,hito_mario2.bin,31335,0x0000ABC0,compressed,,,,,,,,,,
pol/hito_marioaa.bin,pol,hito_marioaa.bin,33625,0x0000BB60,compressed,,,,,,,,,,
pol/hito_oyaji.bin,pol,hito_oyaji.bin,40445,0x0000F4A0,compressed,,,,,,,,,,
pol/hito_oyaji2.bin,pol,hito_oyaji2.bin,26750,0x00009880,compressed,,,,,,,,,,
pol/hito_oyajiaa.bin,pol,hito_oyajiaa.bin,24492,0x00008BA0,compressed,,,,,,,,,,
pol/hito_oyajisagyo.bin,pol,hito_oyajisagyo.bin,25209,0x00008D40,compressed,,,,,,,,,,
pol/hitoc.bin,pol,hitoc.bin,34129,0x0000DA00,compressed,,,,,,,,,,
pol/hou.bin,pol,hou.bin,110214,0x00025280,compressed,,,,,,,,,,
pol/hou_hod1.bin,pol,hou_hod1.bin,27394,0x0000C220,compressed,,,,,,,,,,
pol/item_dia.bin,pol,item_dia.bin,7878,0x00004B20,compressed,,,,,,,,,,
pol/komono_0.bin,pol,komono_0.bin,987,0xC5947546,compressed,,,,,,,,,,
pol/komono_1.bin,pol,komono_1.bin,9761,0x00009C00,compressed,,,,,,,,,,
pol/komono_2.bin,pol,komono_2.bin,22318,0x0000BE20,compressed,,,,,,,,,,
pol/komono_3.bin,pol,komono_3.bin,35220,0x0000EDE0,compressed,,,,,,,,,,
pol/komono_4.bin,pol,komono_4.bin,232,0x000003C0,compressed,,,,,,,,,,
pol/komono_5.bin,pol,komono_5.bin,18889,0x0000CD40,compressed,,,,,,,,,,
pol/komono_6.bin,pol,komono_6.bin,7314,0x00004620,compressed,,,,,,,,,,
pol/komono_7.bin,pol,komono_7.bin,13184,0x00007220,compressed,,,,,,,,,,
pol/komono_8.bin,pol,komono_8.bin,232,0x000003C0,compressed,,,,,,,,,,
pol/komono_anna.bin,pol,komono_anna.bin,9842,0x000073A0,compressed,,,,,,,,,,
pol/komono_bar.bin,pol,komono_bar.bin,22906,0x0000C060,compressed,,,,,,,,,,
pol/komono_barmae.bin,pol,komono_barmae.bin,7555,0x00006480,compressed,,,,,,,,,,
pol/komono_boat.bin,pol,komono_boat.bin,17787,0x00009280,compressed,,,,,,,,,,
pol/komono_boss2.bin,pol,komono_boss2.bin,6274,0x00005A20,compressed,,,,,,,,,,
pol/komono_ido_oke.bin,pol,komono_ido_oke.bin,26566,0x0000C3E0,compressed,,,,,,,,,,
pol/komono_kanban.bin,pol,komono_kanban.bin,2535,0x00001EA0,compressed,,,,,,,,,,
pol/komono_room.bin,pol,komono_room.bin,34772,0x00013180,compressed,,,,,,,,,,
pol/komono_shop.bin,pol,komono_shop.bin,1710,0x00000EC0,compressed,,,,,,,,,,
pol/komono_shop2.bin,pol,komono_shop2.bin,2508,0x000015C0,compressed,,,,,,,,,,
pol/komono_souko.bin,pol,komono_souko.bin,10286,0x000076E0,compressed,,,,,,,,,,
pol/komono_st1.bin,pol,komono_st1.bin,23247,0x0000E800,compressed,,,,,,,,,,
pol/komono_st1b.bin,pol,komono_st1b.bin,9018,0x00005840,compressed,,,,,,,,,,
pol/komono_st2.bin,pol,komono_st2.bin,232,0x000003C0,compressed,,,,,,,,,,
pol/komono_st4.bin,pol,komono_st4.bin,16503,0x00008A40,compressed,,,,,,,,,,
pol/komono_st6.bin,pol,komono_st6.bin,34120,0x00024820,compressed,,,,,,,,,,
pol/komono_suimon.bin,pol,komono_suimon.bin,10620,0x00007860,compressed,,,,,,,,,,
pol/komono_suimonie.bin,pol,komono_suimonie.bin,18479,0x00008B00,compressed,,,,,,,,,,
